fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Alexa Grasso,Valentina Shevchenko,1,0,262 of 408,199 of 301,84 of 203,80 of 179,54 of 151,61 of 158,12 of 22,6 of 8,18 of 30,13 of 13,51 of 160,67 of 158,31 of 35,6 of 8,2 of 8,7 of 13,1 of 2,4 of 7,1,1,1,0,2:39,8:37,D,Decision - Split,5,5:00,Herb Dean,http://ufcstats.com/fight-details/b395c89e19a3fec4
Kevin Holland,Jack Della Maddalena,0,0,127 of 356,105 of 190,127 of 356,105 of 190,59 of 258,46 of 115,33 of 55,36 of 49,35 of 43,23 of 26,119 of 346,94 of 175,8 of 10,11 of 15,0 of 0,0 of 0,0 of 2,0 of 0,0,0,0,0,0:00,0:00,L,Decision - Split,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/697efaf0d162e877
Raul Rosas Jr.,Terrence Mitchell,1,0,19 of 31,6 of 19,18 of 30,6 of 19,17 of 29,5 of 18,1 of 1,1 of 1,0 of 0,0 of 0,6 of 11,6 of 19,1 of 2,0 of 0,11 of 17,0 of 0,0 of 0,0 of 0,0,0,0,0,0:17,0:00,W,KO/TKO,1,0:54,Mark Smith,http://ufcstats.com/fight-details/c0ca4c201d086ea8
Daniel Zellhuber,Christos Giagos,0,0,36 of 101,38 of 82,36 of 101,38 of 82,18 of 75,25 of 63,11 of 19,3 of 7,7 of 7,10 of 12,35 of 100,36 of 79,1 of 1,2 of 3,0 of 0,0 of 0,0 of 0,0 of 6,1,0,0,0,0:17,0:11,W,Submission,2,3:26,Jason Herzog,http://ufcstats.com/fight-details/2e1435c160bfe8b2
Fernando Padilla,Kyle Nelson,0,0,73 of 209,83 of 185,72 of 208,82 of 184,42 of 168,43 of 143,17 of 22,19 of 20,13 of 18,20 of 21,65 of 198,80 of 176,7 of 10,2 of 8,0 of 0,0 of 0,0 of 1,0 of 3,0,0,0,0,0:07,0:00,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/a5d76e93a5052e3f
Loopy Godinez,Elise Reed,1,0,37 of 51,34 of 48,21 of 31,3 of 13,15 of 25,0 of 6,4 of 4,2 of 3,2 of 2,1 of 4,15 of 24,3 of 12,3 of 3,0 of 0,3 of 4,0 of 1,5 of 5,0 of 1,6,0,0,0,6:29,0:22,W,Submission,2,3:38,Herb Dean,http://ufcstats.com/fight-details/79f03eca3fe5cdb3
Roman Kopylov,Josh Fremd,1,0,54 of 90,38 of 116,49 of 84,38 of 116,23 of 56,18 of 81,9 of 10,8 of 13,17 of 18,12 of 22,47 of 80,37 of 115,2 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 5,0,0,0,0,0:03,0:50,W,KO/TKO,2,4:44,Mark Smith,http://ufcstats.com/fight-details/7a0813ec0fadc84e
Edgar Chairez,Daniel Lacerda,0,0,12 of 20,8 of 18,12 of 20,4 of 14,0 of 6,1 of 8,2 of 3,1 of 3,10 of 11,2 of 3,12 of 20,3 of 12,0 of 0,0 of 0,0 of 0,1 of 2,0 of 0,1 of 2,1,0,0,0,0:14,1:19,NC,Overturned,1,3:47,Chris Tognoni,http://ufcstats.com/fight-details/5d3e046b6bcd49f5
Tracy Cortez,Jasmine Jasudavicius,0,0,116 of 225,95 of 225,103 of 212,77 of 206,63 of 164,43 of 148,16 of 23,25 of 47,24 of 25,9 of 11,91 of 198,58 of 176,12 of 14,19 of 30,0 of 0,0 of 0,0 of 1,2 of 10,0,0,0,0,0:26,3:00,W,Decision - Unanimous,3,5:00,Jason Herzog,http://ufcstats.com/fight-details/bcec26b425194e40
Alex Reyes,Charlie Campbell,0,1,15 of 39,43 of 72,14 of 38,43 of 72,8 of 30,27 of 53,2 of 4,10 of 13,4 of 4,6 of 6,12 of 32,35 of 60,2 of 6,7 of 10,0 of 0,1 of 2,0 of 2,0 of 0,0,0,0,0,0:01,0:02,L,KO/TKO,1,3:38,Mark Smith,http://ufcstats.com/fight-details/58b2fdad7af9be02
